country,sattype,satpurpose,satid
USA,Military,Earth Observation,27640
USA,Commercial,Earth Observation,42846
USA,Commercial,Earth Observation,42847
USA,Commercial,Earth Observation,43118
USA,Commercial,Earth Observation,43767
USA,Commercial,Earth Observation,46931
Taiwan,Government,Earth Observation,44349
Taiwan,Government,Earth Observation,44351
Taiwan,Government,Earth Observation,44343
Taiwan,Government,Earth Observation,44350
Taiwan,Government,Earth Observation,44358
Taiwan,Government,Earth Observation,44353
Taiwan,Government/Civil,Earth Observation,29047
Taiwan,Government/Civil,Earth Observation,29048
Taiwan,Government/Civil,Earth Observation,29050
Taiwan,Government/Civil,Earth Observation,29051
Taiwan,Government/Civil,Earth Observation,29052
Italy,Military/Civil,Earth Observation,31598
Italy,Military/Government,Earth Observation,32376
Italy,Military/Government,Earth Observation,33412
Italy,Military/Government,Earth Observation,37216
Italy,Military/Government,Earth Observation,51444
Russia,Military,Technology Development,40555
Russia,Military,Technology Development,44421
Russia,Military,Technology Development,44424
Russia,Military,Earth/Space Observation,44797
Russia,Military,Earth/Space Observation,44835
Russia,Military,Earth/Space Observation,56091
Russia,Military,Technology Development,44422
Russia,Military,Technology Development,44423
USA,Government/Civil,Earth Observation,40380
ESA,Government,Earth Observation,36508
Italy,Military/Government,Earth Observation,44873
USA,Civil,Space Science,43793
France,Military,Earth Observation,43866
France,Military,Earth Observation,47305
Argentina,Civil,Technology Development,39440
USA,Civil,Technology Development,43858
Japan,Civil,Technology Development,27848
USA,Government,Earth Science,49264
USA,Government,Space Science,49263
USA,Government,Earth Observation,41887
USA,Government,Earth Observation,41886
USA,Government,Earth Observation,41891
USA,Government,Earth Observation,41885
USA,Government,Earth Observation,41884
USA,Government,Earth Observation,41889
USA,Government,Earth Observation,41890
USA,Government,Earth Observation,41888
Germany,Commercial,Technology Development,43881
Mexico,Government,Earth Observation,48922
Japan,Government,Earth Observation,39766
China,Government,Space Science,41173
USA,Civil,Educational,43857
China,Commercial,Earth Observation,51845
China,Civil,Technology Development,40912
Spain,Government,Earth Observation,35681
Spain,Government,Earth Observation,40013
Russia,Civil,Space Science,46493
Netherlands,Civil,Technology Development,32789
USA,Civil,Technology Development,45916
United Arab Emirates,Government,Earth Observation,56180
United Arab Emirates,Civil,Technology Development,49016
